Timestamp,A quale regione d'Italia appartieni?,Come riferisci ad un gruppo di ragazzi nel tuo dialetto?,Come diresti la frase ‘Ho capito’?,Come chiameresti una sedia nel tuo dialetto?,Come chiameresti una sigaretta?,Come chiameresti un tiro di una sigaretta?,Come pronunci la parola aspetta?,Come dici la parola ‘Gatto’ in dialetto?,Come dici la parola ‘Cane’??,Come si chiama il salame dalle tue parti?,Come chiameresti una ‘Mucca’ nel tuo regione d’Italia?,Come chiameresti alla spezia ‘Prezzemolo’ nel tuo dialetto?
11/15/2017 17:19:41,Abruzzo,Uaglioni,So' capit',Seggia,Sigarett',Tiro,Aspè,Gat,Can,Salam,Vacche,Prezzemolo
11/15/2017 16:43:04,Calabria,Raga',Capiscetti,Seggia,Sigarett',Tiro,Aspè,Gattu,Cana,Salama,Mucca,Petrusinu
11/17/2017 6:22:52,Calabria,Ragazzi,Capiscivi,Seggia,Sigarett',Tiro,Aspetta,Gattu,Cuane,Suppizzata,Vacca,Patrusinu
11/18/2017 0:34:45,Calabria,Cotrari,Capiscivi,Seggia,Sicaretta,Tirata,Aspetta,Gattu,Cani,Salami,Vacca,Petrusinu
11/2/2017 11:54:56,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tiro,Asc-pett,Gat,Can,Salame,Vacca,Prezzemolo
11/15/2017 12:03:10,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tiro,Spett,Gatte,Can,Salam,Vacca,Prezzemolo
11/15/2017 12:03:29,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tiro,Aspetta,Gjat,Can,Salam,Vacca,Prezzemolo
11/15/2017 13:34:13,Campania,Uaglioni,Agg' capit,Sedia,Sigarett',Tiro,Asc-pett,Gatto,Can,Salam,Vacca,Prezzemolo
11/15/2017 14:55:48,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tiro,Asc-pett,Gjat,Can,Salam,Mucca,Prezzemolo
11/15/2017 15:26:19,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tiro,Asc-pett,Gjat,Can,Salame,Vacca,Prezzemolo
11/15/2017 16:45:07,Campania,Uaglioni,Ho capito,Seggia,Sigaretta,Tiro,Aspetta,Gat,Cane,Salam,Mucca,Prezzemolo
11/15/2017 20:25:04,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tiro,Asc-pett,Gjat,Can,Salam,Mucca,Prezzemolo
11/15/2017 21:38:38,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tiro,Asc-pett,Jattu,Can,Salam,Vacca,Petrosino
11/16/2017 19:05:53,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tir',Asc-pett,Jattu,Can,Salame,Vacca,Petrusin’
11/17/2017 3:32:58,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tir',Asc-pett,Mucill,Cacciuttiell,Salam,Vacca,Petrusín'
12/11/2017 17:29:27,Campania,Uaglioni,Agg' capit,Seggia,Sigarett',Tir',Asc-pett,Gat,Can,Salam,Vacca,Prezzemolo
11/15/2017 16:45:17,Emiglia-Romagna,Ragazzi,Ho capito,Sedia,Sigarett',Tiro,Aspetta,Gatto,Cane,Luganega,Vacca,Prezzemolo
11/16/2017 1:07:28,Emiglia-Romagna,Ragàs,A io capì,Scrana,Paglia,Tiro,Aspetta,Gat,Can,Salam,Vaca,Parsemul
11/16/2017 10:16:53,Emiglia-Romagna,Cinni,A io capì,Scrana,Paglia,Tiro,Aspèta,Gat,Can,Salam,Vaca,I parsû
11/16/2017 14:19:52,Emiglia-Romagna,Ragazit,A io capì,Scrana,Sigarett',Tir',Speta,Gat,Can,Salam,Vaca,Parsemul
11/16/2017 20:07:53,Emiglia-Romagna,Ragazzi,Agg' capit,Sedia,Cicca,Tiro,Spett,Gatto,Cane,Salame,Mucca,Prezzemolo
11/17/2017 9:59:58,Emiglia-Romagna,Ragazzi,A io capì,Scrana,Sigarett',Tiro,Aspetta,Gat,Can,Salam,Vaca,Parsemul
11/15/2017 12:19:20,Lazio,Pischelli,Ho capito,Carega,Ciospa,Tiro,Aspetta,Gatto,Cane,Salame,Mucca,Prezzemolo
11/15/2017 18:23:45,Lazio,Ragazzi,Ho capito,Sedia,Sigaretta,Tiro,Spett,Micio,Cane,Salame,Vacca,Prezzemolo
11/15/2017 19:28:00,Lazio,Ragazzi,Ho capito,Sedia,Sigaretta,Tiro,Aspetta,Gatto,Cane,Salame,Vacca,Prezzemolo
11/16/2017 0:51:32,Lazio,Pischelli,Ho capito,Sedia,Ciospa,Tiro,Aspetta,Gatto,Cane,Salame,Vacca,Erbetta
11/16/2017 10:08:20,Lazio,Pischelli,Ho capito,Sedia,Paglia,Na tirata,Spett,Miscio,Cane,Salame,Vacca,Erbetta
11/17/2017 5:04:18,Lazio,Pischelli,Ho capito,Sedia,Ciospa,Tiro,Aspetta,Gatto,Cane,Salame,Vacca,Prezzemolo
11/15/2017 16:37:13,Lombardia,Pütèi,U capì,Scrana,Sigarett',Tiro,Spett,Gat,Can,Salam,Vaca,Pardesum
11/15/2017 16:42:27,Lombardia,Matèi,Ho capit,Hcagna,Higareta,Bocada,Peta,Gat,Cà,Salam,‘acha,Pederhem
11/15/2017 16:50:31,Lombardia,Gnari,Ho capito,Scrana,Paglia,Tiro,Aspetta,Gatto,Cane,Salam,‘acha,Prezzemolo
11/15/2017 17:01:51,Lombardia,Pütèi,U capì,Scrana,Paia,Tir',Peta,Gat,Can,Salam,Vaca,Pardesum 
11/15/2017 17:13:37,Lombardia,Matèi,Go capit',Scagna,Higareta,Bocada,Hpeta,Gat,Cà,Halam,Àca,Pederhem
11/15/2017 17:25:56,Lombardia,Pütèi,Ho capì,Scragna,Sigareta,Tiro,Aspè,Gat,Can,Salam,Vaca,Pardesum
11/15/2017 17:26:18,Lombardia,Boce,Ho capit,Scagna,Higareta,Tir',Hpeta,Gat,Cà,Salam,Àca,Pederhem
11/15/2017 17:36:23,Lombardia,Pütèi,Ó capìt,Scrana,Paglia,Tiro,Peta,Gat,Can,Salam,Vaca,Pardesum 
11/15/2017 17:47:47,Lombardia,Pütèi,U capì,Scragna ,Sigareta ,An tir ,Speta,Gat,Can,Salam,Vaca,Pardesum
11/15/2017 18:46:11,Lombardia,Ragazzi,U capì,Scrana,Paglia,Tiro,Peta,Gat,Can,Salam,Vaca,Pardasèm
11/15/2017 19:50:08,Lombardia,Pütèi,A gó capì,Scrania,Sigareta,An tir,Speta,Gat,Can,Salam,Vaca,Perdesü
11/15/2017 23:26:06,Lombardia,Ragazzi,Ho capito,Sedia,Paglia,Tiro,Spett,Gat,Cane,Salame,Mucca,Prezzemolo
11/16/2017 0:09:44,Lombardia,Pütèi,Ho capì,Scragna,Paglia,Tiro,Peta,Gat,Can,Salam,Vaca,Parsemul
11/16/2017 0:13:35,Lombardia,Pütèi,Ó capìt,Scragna,Sigareta,Tir',Hpeta,Gat,Can,Salam,Vaca,Pardesum
11/16/2017 1:11:54,Lombardia,Tosi,Ho capito,Carega,Paglia,Tiro,Peta,Gat,Cane,Salam,‘acha,Parsemul
11/16/2017 1:18:11,Lombardia,Matèi,Ó capìt,Hcagna,Cicca,Tiro,Hpeta,Gat,Cà,Halam,Acå,Pederhem
11/16/2017 2:32:01,Lombardia,Scet,Ho capit,Scagna,Paglia,Tiro,Peta,Gat,Cà,Salam,‘acha,Prezzemolo
